eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
YAF2	-0.0660860259954621	-0.0514172319136907	0.117503257909154	0.0182103796931719	-0.0296896892453589	-0.0764892981969467	0.0879686077491337	-0.520686581938279	0.15022711783998	0.3704594640983	0.268661330689141	0.0464038274901162	-0.370879596481378	0.0558144383021224
XYLT1	-0.238635854406833	0.173515689069076	0.0651201653377562	-0.216789626702105	-0.350035770792257	0.402404545665936	0.164420851828427	-0.0992187004447764	-0.0202824049596071	0.119501105404383	0.096105739159408	0.0437660962198185	-0.225394168746536	0.0855223333673085
XPO1	-0.0953081339396604	-0.0722838601793292	0.167591994118986	-0.346967876126254	-0.343946096861277	0.261982077760432	0.428931895227098	0.502447240355529	-0.542290215994514	0.0398429756389831	0.590826739281246	0.215802442374349	-0.926625922472345	0.119996740816749
XPNPEP2	0.0522312300719421	0.193361696512195	-0.245592926584137	0.186038788173873	0.00144885646593007	-0.210271497012366	0.0227838523725634	0.401833724156037	-0.253986215866899	-0.147847508289137	-0.18423521479408	-0.0718374301067651	0.373179814008298	-0.117107169107452
XPA	-0.210859130002159	0.0330336834878651	0.177825446514294	-1.59131625584785	0.178646541454437	1.24072750208236	0.171942212311063	1.96166265791491	-1.15630869771646	-0.805353960198449	0.681385219284504	0.202158699696696	-0.475336635803778	-0.408207283177429
WWP1	-0.31815997261128	0.204492336935472	0.113667635675808	0.0694718813327135	-0.197537966556326	0.0312706670748577	0.0967954181487549	-0.0746182516205218	-0.17713311258506	0.251751364205582	0.218530459013847	-0.197071416471407	-0.14327174407754	0.1218127015351
WTIP	0.0169800740713888	0.0118284585977477	-0.0288085326691365	0.166864145955518	-0.19031533202565	0.00232867792107072	0.0211225081490598	0.829498450794254	-0.414966864366432	-0.414531586427822	0.0813407102625212	-0.238685093638681	-0.204648583791233	0.361992967167392
WSB1	-0.284276572662833	0.107700707442408	0.176575865220428	0.358612871002443	-1.2514512855162	0.804919977284271	0.0879184372294937	-0.545576329886959	-1.23107281897614	1.7766491488631	1.1003568493517	0.203016670093113	-1.54183989236502	0.238466372920193
WRNIP1	-0.325511892535988	0.540206428186604	-0.214694535650615	-0.178516782292502	0.260740530446403	0.0693221639618722	-0.151545912115774	1.4098900208783	-0.805091893008005	-0.604798127870295	0.0273685616423984	-0.306721080686632	0.0698159351560887	0.209536583888145
WRB	-0.181033858689217	-0.0911557786158177	0.272189637305036	0.314103500057962	-0.387120811010403	0.165285083371927	-0.092267772419488	-0.19001789439397	0.217716902945485	-0.027699008551517	0.70038788483804	0.364247316720562	-0.232898502757202	-0.8317366988014
WNT9B	0.314925809294893	-0.57233820929827	0.257412400003376	0.894008916387603	-0.201465156217681	-0.870536629761105	0.177992869591183	-1.68859769597438	-1.07035012743575	2.75894782341013	1.79112861322109	-0.0530961898093461	-1.85045107250937	0.112418649097615
WNT9A	-0.163969737362823	-0.0401545295021788	0.204124266865001	0.83154753795409	-1.27997400123354	0.233329533806205	0.215096929473249	-0.447532450321686	0.736860811024504	-0.289328360702817	-0.406056881557954	0.0611657603983859	0.0756006151950563	0.269290505964514
